experiment_name,family_id,family_label,prompt_id,prompt_label,prompt_text,prompt_slot,negative_prompt,seed,seed_slot,denoise,cfg,steps,sampler_name,scheduler,seconds,batch_size,comfy_prefix,local_filename,comfy_prompt_id,family_order,page_audio_path
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,758282017860344,2,0.7,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn070__slot02__seed758282017860344,descriptive__descriptive-02__dn070__slot02__seed758282017860344.flac,dc25c213-6930-45e6-a78f-144eebfe0913,0,audit/audio/descriptive__descriptive-02__dn070__slot02__seed758282017860344.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,510094380489408,3,0.7,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn070__slot03__seed510094380489408,descriptive__descriptive-02__dn070__slot03__seed510094380489408.flac,5236d29f-3c47-488e-a511-615fb5797342,0,audit/audio/descriptive__descriptive-02__dn070__slot03__seed510094380489408.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,959546376485544,4,0.7,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn070__slot04__seed959546376485544,descriptive__descriptive-02__dn070__slot04__seed959546376485544.flac,b31af726-5e7a-4617-8242-ec8d3b41635e,0,audit/audio/descriptive__descriptive-02__dn070__slot04__seed959546376485544.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,844919671624663,5,0.7,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn070__slot05__seed844919671624663,descriptive__descriptive-02__dn070__slot05__seed844919671624663.flac,debf877b-5c28-490a-9cdc-fe46a9c637ac,0,audit/audio/descriptive__descriptive-02__dn070__slot05__seed844919671624663.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,754560758249331,6,0.7,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn070__slot06__seed754560758249331,descriptive__descriptive-02__dn070__slot06__seed754560758249331.flac,dfa08758-b32b-4adc-a221-fccb58e9944c,0,audit/audio/descriptive__descriptive-02__dn070__slot06__seed754560758249331.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,467779948461085,1,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn055__slot01__seed467779948461085,descriptive__descriptive-02__dn055__slot01__seed467779948461085.flac,8c30f958-b049-452c-86cc-6b25d30c9414,0,audit/audio/descriptive__descriptive-02__dn055__slot01__seed467779948461085.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,758282017860344,2,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn055__slot02__seed758282017860344,descriptive__descriptive-02__dn055__slot02__seed758282017860344.flac,7dd2d1a4-f744-4a8e-80e4-81fa5d74bf75,0,audit/audio/descriptive__descriptive-02__dn055__slot02__seed758282017860344.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,510094380489408,3,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn055__slot03__seed510094380489408,descriptive__descriptive-02__dn055__slot03__seed510094380489408.flac,9ab55593-23fa-4517-9bbc-a2006d633879,0,audit/audio/descriptive__descriptive-02__dn055__slot03__seed510094380489408.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,959546376485544,4,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn055__slot04__seed959546376485544,descriptive__descriptive-02__dn055__slot04__seed959546376485544.flac,8a091488-5553-43c1-9755-f7fb434bd565,0,audit/audio/descriptive__descriptive-02__dn055__slot04__seed959546376485544.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,844919671624663,5,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn055__slot05__seed844919671624663,descriptive__descriptive-02__dn055__slot05__seed844919671624663.flac,08915ea5-bedf-4d7a-91cb-23a9c067bf50,0,audit/audio/descriptive__descriptive-02__dn055__slot05__seed844919671624663.mp3
