local_filename,family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,intended_prompt,actual_prompt,intended_cfg,actual_cfg,intended_steps,actual_steps,intended_denoise,actual_denoise,intended_sampler_name,actual_sampler_name,intended_scheduler,actual_scheduler,intended_seed,actual_seed,metadata_ok,matches_intended,mismatch_summary
descriptive__descriptive-03__dn055__slot02__seed104602413208802.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,104602413208802,2,0.55,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,104602413208802,104602413208802,True,True,
descriptive__descriptive-03__dn040__slot02__seed104602413208802.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,104602413208802,2,0.4,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,104602413208802,104602413208802,True,True,
descriptive__descriptive-03__dn100__slot03__seed247385422446336.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,247385422446336,3,1.0,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,247385422446336,247385422446336,True,True,
descriptive__descriptive-03__dn070__slot03__seed247385422446336.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,247385422446336,3,0.7,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,247385422446336,247385422446336,True,True,
descriptive__descriptive-03__dn055__slot03__seed247385422446336.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,247385422446336,3,0.55,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,247385422446336,247385422446336,True,True,
descriptive__descriptive-03__dn040__slot03__seed247385422446336.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,247385422446336,3,0.4,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,247385422446336,247385422446336,True,True,
descriptive__descriptive-03__dn100__slot04__seed226397792656353.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,226397792656353,4,1.0,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,226397792656353,226397792656353,True,True,
descriptive__descriptive-03__dn070__slot04__seed226397792656353.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,226397792656353,4,0.7,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,226397792656353,226397792656353,True,True,
descriptive__descriptive-03__dn055__slot04__seed226397792656353.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,226397792656353,4,0.55,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,226397792656353,226397792656353,True,True,
descriptive__descriptive-03__dn040__slot04__seed226397792656353.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,226397792656353,4,0.4,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,226397792656353,226397792656353,True,True,
descriptive__descriptive-03__dn100__slot05__seed995575270598493.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,995575270598493,5,1.0,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,995575270598493,995575270598493,True,True,
descriptive__descriptive-03__dn070__slot05__seed995575270598493.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,995575270598493,5,0.7,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,995575270598493,995575270598493,True,True,
descriptive__descriptive-03__dn055__slot05__seed995575270598493.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,995575270598493,5,0.55,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,995575270598493,995575270598493,True,True,
descriptive__descriptive-03__dn040__slot05__seed995575270598493.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,995575270598493,5,0.4,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,995575270598493,995575270598493,True,True,
descriptive__descriptive-03__dn100__slot06__seed526088629548919.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,526088629548919,6,1.0,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,526088629548919,526088629548919,True,True,
