local_filename,family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,best_matching_prompt_id,best_matching_prompt_label,best_matching_prompt_family_id,best_matching_prompt_family_label,best_matching_prompt_cosine_similarity,similarity_to_descriptive-01,similarity_to_descriptive-02,similarity_to_descriptive-03,similarity_to_descriptive-04,similarity_to_descriptive-05,similarity_to_abstract-01,similarity_to_abstract-02,similarity_to_abstract-03,similarity_to_abstract-04,similarity_to_abstract-05
descriptive__descriptive-01__dn055__slot06__seed873534913822354.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,873534913822354,6,0.55,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5495905876159668,0.5495905876159668,0.10667261481285095,0.21658916771411896,0.013005909509956837,-0.0571470707654953,0.10317586362361908,0.09359338879585266,0.062061857432127,-0.05303174629807472,0.13187041878700256
descriptive__descriptive-01__dn040__slot06__seed873534913822354.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,873534913822354,6,0.4,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.37447479367256165,0.37447479367256165,-0.01502043753862381,0.1335257738828659,0.11108774691820145,-0.03669397532939911,0.03141038119792938,0.20572111010551453,0.0974658653140068,-0.011348037980496883,0.21172676980495453
descriptive__descriptive-02__dn100__slot01__seed467779948461085.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,467779948461085,1,1.0,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.5423163175582886,-0.03171717748045921,0.5423163175582886,0.14304672181606293,-0.08935410529375076,-0.04435807466506958,0.02199663408100605,0.03456229344010353,0.1308346688747406,-0.040527068078517914,-0.009947380982339382
descriptive__descriptive-02__dn070__slot01__seed467779948461085.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,467779948461085,1,0.7,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.4941472113132477,-0.014416513033211231,0.4941472113132477,0.20309019088745117,-0.06793494522571564,0.02866320312023163,0.19247254729270935,0.20980776846408844,0.28460222482681274,0.07954046875238419,0.11681127548217773
descriptive__descriptive-02__dn055__slot01__seed467779948461085.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,467779948461085,1,0.55,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.35808005928993225,-0.054265815764665604,0.35808005928993225,0.18393944203853607,-0.10023535788059235,-0.03588567674160004,0.14771060645580292,0.17140240967273712,0.11706787347793579,-0.026141291484236717,-0.025544816628098488
descriptive__descriptive-02__dn040__slot01__seed467779948461085.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,467779948461085,1,0.4,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.3606882691383362,-0.03489616513252258,0.3606882691383362,-0.04297095537185669,0.023218248039484024,0.014250657521188259,0.037146955728530884,-0.0020857194904237986,-0.02407819777727127,-0.028149450197815895,-0.04501064121723175
descriptive__descriptive-02__dn100__slot02__seed758282017860344.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,758282017860344,2,1.0,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.619331955909729,-0.054763369262218475,0.619331955909729,0.08691119402647018,0.038598816841840744,-0.029232483357191086,0.04071011394262314,0.019127624109387398,0.07815194129943848,-0.03783167898654938,-0.003671494545415044
descriptive__descriptive-02__dn070__slot02__seed758282017860344.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,758282017860344,2,0.7,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.52494215965271,0.05860153213143349,0.52494215965271,0.2552320957183838,-0.051697347313165665,0.02341287210583687,0.1925334483385086,0.1268662065267563,0.17205549776554108,0.03539416566491127,0.06784682720899582
descriptive__descriptive-02__dn055__slot02__seed758282017860344.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,758282017860344,2,0.55,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.44568076729774475,-0.07007051259279251,0.44568076729774475,0.21471035480499268,0.01976015791296959,-0.023103930056095123,0.1588490903377533,0.17547330260276794,0.065572090446949,0.05536482483148575,-0.0712912306189537
descriptive__descriptive-02__dn040__slot02__seed758282017860344.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,758282017860344,2,0.4,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,0.35423117876052856,-0.06566432118415833,0.11721906810998917,0.08690984547138214,0.10618285089731216,0.012565395794808865,0.1593603938817978,0.3113212585449219,0.1206575483083725,0.035324085503816605,0.35423117876052856
descriptive__descriptive-02__dn100__slot03__seed510094380489408.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,1.0,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.41881975531578064,-0.10471686720848083,0.41881975531578064,0.16202405095100403,-0.1274850070476532,-0.0508265420794487,0.10185429453849792,0.02951500378549099,0.029541952535510063,0.024416126310825348,-0.01290036365389824
descriptive__descriptive-02__dn070__slot03__seed510094380489408.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.7,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.35237061977386475,-0.08348429203033447,0.35237061977386475,-0.004032395780086517,-0.06980611383914948,-0.020621268078684807,0.038372356444597244,-0.026971468701958656,0.10571499168872833,-0.01731957495212555,-0.11178314685821533
descriptive__descriptive-02__dn055__slot03__seed510094380489408.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.55,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.3224518597126007,-0.1305035948753357,0.3224518597126007,0.14054611325263977,-0.07843288034200668,-0.05972915142774582,0.16415920853614807,0.16135580837726593,0.10412111133337021,0.004570626653730869,0.008684816770255566
descriptive__descriptive-02__dn040__slot03__seed510094380489408.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.4,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.5126268267631531,-0.031146906316280365,0.5126268267631531,0.19733327627182007,-0.062214672565460205,0.013185596093535423,0.09260129183530807,0.09212891012430191,0.10108189284801483,0.02771657705307007,0.04593600705265999
descriptive__descriptive-02__dn100__slot04__seed959546376485544.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,1.0,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.5036797523498535,-0.012078949250280857,0.5036797523498535,0.2698396146297455,-0.049943957477808,0.07974177598953247,0.1748695820569992,0.11534960567951202,0.23104660212993622,0.16301092505455017,0.08204436302185059
descriptive__descriptive-02__dn070__slot04__seed959546376485544.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.7,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.5744287371635437,0.09120208770036697,0.5744287371635437,0.07290759682655334,-0.09385228902101517,0.04139241203665733,0.16150987148284912,0.0969083309173584,0.24116626381874084,0.03943818435072899,0.09665186703205109
descriptive__descriptive-02__dn055__slot04__seed959546376485544.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.55,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.4396580159664154,-0.04625781625509262,0.4396580159664154,0.15053974092006683,-0.14547164738178253,0.0011757058091461658,0.11761307716369629,0.15312501788139343,0.19040821492671967,0.06000414118170738,0.07911282032728195
descriptive__descriptive-02__dn040__slot04__seed959546376485544.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.4,abstract-01,Solar ekphrasis,abstract,Abstract,0.3566402792930603,-0.10534530133008957,0.18254005908966064,0.2439255565404892,-0.08694731444120407,0.010589039884507656,0.3566402792930603,0.2978922128677368,0.2662855386734009,0.11406364291906357,0.1707625538110733
descriptive__descriptive-02__dn100__slot05__seed844919671624663.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,1.0,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.39024126529693604,-0.16597862541675568,0.39024126529693604,0.1033438965678215,-0.11057712137699127,-0.12005147337913513,-0.00036473278305493295,0.07656414061784744,0.023768115788698196,-0.08157511800527573,-0.11134623736143112
