family_id,family_label,prompt_id,prompt_label,prompt_text,denoise,n,mean_pairwise_cosine_distance,std_pairwise_cosine_distance,min_pairwise_cosine_distance,max_pairwise_cosine_distance,mean_pairwise_cosine_similarity
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,Entangled bilateral transfer functions,0.55,6,0.401386559009552,0.17134977877140045,0.13323134183883667,0.6015204191207886,0.598613440990448
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,Entangled bilateral transfer functions,0.4,6,0.31485986709594727,0.09085003286600113,0.15701603889465332,0.48003268241882324,0.6851401329040527
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,,1.0,6,0.6239625215530396,0.1957494616508484,0.2619518041610718,0.9715345501899719,0.37603747844696045
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,,0.7,6,0.5580340623855591,0.11434769630432129,0.3369344472885132,0.7725605368614197,0.4419659376144409
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,,0.55,6,0.5180502533912659,0.11973989754915237,0.2599015235900879,0.6958640217781067,0.48194974660873413
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,,0.4,6,0.32536137104034424,0.08440917730331421,0.191847026348114,0.45099055767059326,0.6746386289596558
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,,1.0,6,0.5258538722991943,0.16665512323379517,0.3212766647338867,0.8410485982894897,0.47414612770080566
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,,0.7,6,0.5699291229248047,0.1542094647884369,0.3170092701911926,0.8560791015625,0.4300708770751953
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,,0.55,6,0.5291802287101746,0.12455277144908905,0.2644319534301758,0.7270584106445312,0.47081977128982544
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,,0.4,6,0.43309009075164795,0.10739067941904068,0.283940851688385,0.6502283811569214,0.566909909248352
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,,1.0,6,0.5525429844856262,0.11420170217752457,0.33908534049987793,0.7672277688980103,0.4474570155143738
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,,0.7,6,0.6771994829177856,0.189247727394104,0.342349648475647,1.0208196640014648,0.32280051708221436
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,,0.55,6,0.48977959156036377,0.19255664944648743,0.26648426055908203,0.9182398319244385,0.5102204084396362
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,,0.4,6,0.43949052691459656,0.12326592952013016,0.2090059518814087,0.6722124814987183,0.560509443283081
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,,1.0,6,0.6953346729278564,0.14805683493614197,0.3286525011062622,0.932934045791626,0.30466532707214355
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,,0.7,6,0.5497654676437378,0.13942761719226837,0.24977266788482666,0.7039274573326111,0.4502345323562622
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,,0.55,6,0.6527682542800903,0.16756008565425873,0.41940850019454956,0.9845940470695496,0.34723174571990967
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,,0.4,6,0.49907785654067993,0.1499934047460556,0.2986050844192505,0.767354428768158,0.5009221434593201
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,,1.0,6,0.6452133655548096,0.14641186594963074,0.35969269275665283,0.8762914538383484,0.35478663444519043
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,,0.7,6,0.5891315937042236,0.2188221514225006,0.2540484070777893,1.06002676486969,0.41086840629577637
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,,0.55,6,0.42323487997055054,0.15372751653194427,0.2001572847366333,0.6818415522575378,0.5767651200294495
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,,0.4,6,0.3860844075679779,0.09081695973873138,0.2043776512145996,0.5343238711357117,0.6139155626296997
