family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,local_filename,pc1,pc2
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,398410139056662,1,0.55,descriptive__descriptive-04__dn055__slot01__seed398410139056662.flac,-0.5959826707839966,-0.25007548928260803
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,398410139056662,1,0.4,descriptive__descriptive-04__dn040__slot01__seed398410139056662.flac,-0.4648430347442627,-0.25435391068458557
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,581603229148997,2,1.0,descriptive__descriptive-04__dn100__slot02__seed581603229148997.flac,-0.48991450667381287,-0.151979461312294
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,581603229148997,2,0.7,descriptive__descriptive-04__dn070__slot02__seed581603229148997.flac,-0.5463099479675293,-0.170192688703537
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,581603229148997,2,0.55,descriptive__descriptive-04__dn055__slot02__seed581603229148997.flac,-0.6090970039367676,-0.23480916023254395
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,581603229148997,2,0.4,descriptive__descriptive-04__dn040__slot02__seed581603229148997.flac,-0.3651968836784363,-0.22338831424713135
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,327312407480077,3,1.0,descriptive__descriptive-04__dn100__slot03__seed327312407480077.flac,-0.6865591406822205,-0.1658097505569458
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,327312407480077,3,0.7,descriptive__descriptive-04__dn070__slot03__seed327312407480077.flac,-0.7510483860969543,-0.13629624247550964
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,327312407480077,3,0.55,descriptive__descriptive-04__dn055__slot03__seed327312407480077.flac,-0.41788336634635925,-0.2038806974887848
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,327312407480077,3,0.4,descriptive__descriptive-04__dn040__slot03__seed327312407480077.flac,-0.4964452087879181,-0.14681187272071838
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,476864878317074,4,1.0,descriptive__descriptive-04__dn100__slot04__seed476864878317074.flac,-0.7295136451721191,-0.2081862986087799
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,476864878317074,4,0.7,descriptive__descriptive-04__dn070__slot04__seed476864878317074.flac,-0.6395668387413025,-0.2323427051305771
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,476864878317074,4,0.55,descriptive__descriptive-04__dn055__slot04__seed476864878317074.flac,-0.5368422865867615,-0.2507331371307373
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,476864878317074,4,0.4,descriptive__descriptive-04__dn040__slot04__seed476864878317074.flac,-0.313138872385025,-0.15839791297912598
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,916589050477114,5,1.0,descriptive__descriptive-04__dn100__slot05__seed916589050477114.flac,-0.6469125747680664,-0.17921729385852814
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,916589050477114,5,0.7,descriptive__descriptive-04__dn070__slot05__seed916589050477114.flac,-0.5713661909103394,-0.17763768136501312
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,916589050477114,5,0.55,descriptive__descriptive-04__dn055__slot05__seed916589050477114.flac,-0.5237139463424683,-0.1538645327091217
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,916589050477114,5,0.4,descriptive__descriptive-04__dn040__slot05__seed916589050477114.flac,-0.6843680739402771,-0.1302928328514099
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,576220339838781,6,1.0,descriptive__descriptive-04__dn100__slot06__seed576220339838781.flac,-0.6033046245574951,-0.13288746774196625
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,576220339838781,6,0.7,descriptive__descriptive-04__dn070__slot06__seed576220339838781.flac,-0.732326090335846,-0.1651488095521927
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,576220339838781,6,0.55,descriptive__descriptive-04__dn055__slot06__seed576220339838781.flac,-0.7441266775131226,-0.14557230472564697
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,576220339838781,6,0.4,descriptive__descriptive-04__dn040__slot06__seed576220339838781.flac,-0.685810387134552,-0.20458470284938812
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,845291948846361,1,1.0,descriptive__descriptive-05__dn100__slot01__seed845291948846361.flac,-0.32632675766944885,0.6375529766082764
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,845291948846361,1,0.7,descriptive__descriptive-05__dn070__slot01__seed845291948846361.flac,-0.37043440341949463,0.6526935696601868
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,845291948846361,1,0.55,descriptive__descriptive-05__dn055__slot01__seed845291948846361.flac,-0.27441173791885376,0.5481374263763428
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,845291948846361,1,0.4,descriptive__descriptive-05__dn040__slot01__seed845291948846361.flac,-0.3143552839756012,0.582054078578949
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,710378140300593,2,1.0,descriptive__descriptive-05__dn100__slot02__seed710378140300593.flac,-0.4678884446620941,0.571111798286438
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",5,710378140300593,2,0.7,descriptive__descriptive-05__dn070__slot02__seed710378140300593.flac,-0.31280767917633057,0.6150487065315247
