source_family_id,source_family_label,source_prompt_id,source_prompt_label,target_prompt_id,target_prompt_label,target_prompt_family_id,target_prompt_family_label,denoise,n,mean_cosine_similarity,std_cosine_similarity
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.10672805458307266,0.049707021564245224
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.15148742496967316,0.0898565873503685
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.04174867272377014,0.10120820999145508
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.0076858424581587315,0.11049472540616989
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.2389918565750122,0.06100405007600784
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.33758580684661865,0.05583197623491287
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.23286300897598267,0.0895424485206604
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.0481751374900341,0.11367807537317276
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.2398291677236557,0.07135247439146042
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.10374736785888672,0.07463639974594116
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.03156706318259239,0.07513828575611115
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.18186138570308685,0.09434212744235992
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.09363117814064026,0.07920365780591965
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,-0.012899206019937992,0.0716773048043251
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.2099495679140091,0.0802273228764534
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.2666528522968292,0.13376735150814056
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.20360587537288666,0.08671186119318008
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,-0.00024617029703222215,0.04824239760637283
unconditioned,Unconditioned,unconditioned-05,Unconditioned slot 5,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.19820155203342438,0.08492688089609146
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.7,6,0.48411619663238525,0.08659660071134567
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.7,6,-0.03059101104736328,0.09280742704868317
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-03,Ambient synth loop,descriptive,Descriptive,0.7,6,0.08367707580327988,0.045687850564718246
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,0.7,6,-0.0486321747303009,0.057354748249053955
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,0.7,6,-0.147209033370018,0.05770162120461464
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-01,Solar ekphrasis,abstract,Abstract,0.7,6,-0.03989754244685173,0.08803750574588776
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-02,Cosmic infoldings,abstract,Abstract,0.7,6,-0.08876228332519531,0.06927352398633957
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-03,Colliding blackholes,abstract,Abstract,0.7,6,-0.11241477727890015,0.08531499654054642
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-04,Fragile entropic structure,abstract,Abstract,0.7,6,-0.0754384696483612,0.05494998022913933
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-05,Entangled bilateral transfer functions,abstract,Abstract,0.7,6,-0.0008061151020228863,0.06770040839910507
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.7,6,-0.014936335384845734,0.07118337601423264
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,0.7,6,0.4829282760620117,0.07143767178058624
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-03,Ambient synth loop,descriptive,Descriptive,0.7,6,0.10742029547691345,0.09111148864030838
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,0.7,6,-0.06300900876522064,0.019295314326882362
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,0.7,6,0.005263637285679579,0.026496976613998413
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",abstract-01,Solar ekphrasis,abstract,Abstract,0.7,6,0.11494224518537521,0.06827417016029358
